what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177570005
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289177580071
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177581121
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177581611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177588251
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177588841
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289177603396
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177605732
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177606883
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177609952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177618464
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289177627727
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1289177629809
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289177634565
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177637941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177639683
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289177647401
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289177658931
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177664471
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177664901
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289177674021
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289177709951
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177713543
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177715291
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177718909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177744949
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177746599
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177749159
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177750341
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177761112
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177762132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177801549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177804468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177805926
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177808947
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177820402
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177822136
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177822563
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177825313
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177825747
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177830615
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177831739
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289177832299
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289177887873
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177890132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177892105
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177895375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178008076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289178030121
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178045455
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178046913
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178047842
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178211722
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178213153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178384189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178387918
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178388205
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178754461
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178770199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178774172
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178778114
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178810313
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1289178828205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1289178838508
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289178839855
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178841712
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289178842918
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289178846533
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289178850930
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1289178870022
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289178872424
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1289178879569
